Cod Mec,Escola,Gre,Município
26018020,Escola de Referencia em Ensino Medio Aristaque Jose de Veras,Sertao do Alto Pajeu(Afogados da Ingazeira),Ingazeira
26018314,Escola de Referencia em Ensino Medio Teresa Torres,Sertao do Alto Pajeu(Afogados da Ingazeira),Itapetim
26018977,Escola Tome Francisco da Silva,Sertao do Alto Pajeu(Afogados da Ingazeira),Quixaba
26019370,Escola Santa Cruz,Sertao do Alto Pajeu(Afogados da Ingazeira),Santa Cruz da Baixa Verde
26019493,Escola de Referencia em Ensino Medio Santa Terezinha,Sertao do Alto Pajeu(Afogados da Ingazeira),Santa Terezinha
26019825,Escola de Referencia em Ensino Medio Edson Simoes,Sertao do Alto Pajeu(Afogados da Ingazeira),Sao Jose do Egito
26019922,Escola de Referencia em Ensino Medio Oliveira Lima - Sj Egito,Sertao do Alto Pajeu(Afogados da Ingazeira),Sao Jose do Egito
26019949,Escola de Referencia em Ensino Fundamental Professor Sebastiao Ferreira Rabelo Sobrinho,Sertao do Alto Pajeu(Afogados da Ingazeira),Sao Jose do Egito
26020572,Escola Maxima Vieira de Melo,Sertao do Alto Pajeu(Afogados da Ingazeira),Sao Jose do Egito
26020882,Escola de Referencia em Ensino Fundamental E Ensino Medio Methodio de Godoy Lima,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26020955,Escola Tecnica Estadual Clovis Nogueira Alves,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26020963,Escola de Referencia em Ensino Fundamental E Medio Antonio Timoteo,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26020971,Escola de Referencia em Ensino Medio Cornelio Soares,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26020998,Escola de Referencia em Ensino Fundamental Irma Elizabeth,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26021820,Escola de Referencia em Ensino Fundamental E Medio Manoel Pereira Lins,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26021900,Escola de Referencia em Ensino Medio Solidonio Leite,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26021927,Escola de Referencia em Ensino Medio Irnero Ignacio,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26022850,Escola de Referencia em Ensino Medio Nossa Senhora de Lourdes,Sertao do Alto Pajeu(Afogados da Ingazeira),Solidao
26023245,Escola de Referencia em Ensino Fundamental E Medio Arnaldo Alves Cavalcanti,Sertao do Alto Pajeu(Afogados da Ingazeira),Tabira
26023334,Escola de Referencia em Fundamental E Medio Pedro Pires Ferreira,Sertao do Alto Pajeu(Afogados da Ingazeira),Tabira
26024047,Escola Monsenhor Luiz Sampaio,Sertao do Alto Pajeu(Afogados da Ingazeira),Triunfo
26024551,Escola de Referencia em Ensino Medio Conego Olimpio Torres,Sertao do Alto Pajeu(Afogados da Ingazeira),Tuparetama
26024578,Escola de Referencia em Ensino Fundamental Ernesto de Souza Leite,Sertao do Alto Pajeu(Afogados da Ingazeira),Tuparetama
26024675,Escola de Referencia em Ensino Medio Senador Vitorino Freire,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024721,Escola de Referencia em Ensino Fundamental Antonio Japiassu,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024730,Escola de Referencia em Ensino Medio Carlos Rios,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024756,Escola Industrial de Arcoverde,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024764,Escola Jornalista Edson Regis,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024780,Escola Lions Antonio Moreno,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26024802,Escola de Referencia em Ensino Fundamental E Medio Monsenhor Jose Kehrle,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26025175,Escola Noe Nunes Ferraz,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26025280,Escola Santa Cecilia,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26025876,Escola de Referencia em Ensino Medio Osmar de Souza Ferraz,Sertao do Moxoto Ipanema(Arcoverde),Betania
26025981,Escola General Joaquim Inacio,Sertao do Moxoto Ipanema(Arcoverde),Custodia
26026627,Escola de Referencia em Ensino Medio Jose Pereira Burgos,Sertao do Moxoto Ipanema(Arcoverde),Custodia
26026902,Escola Apolonio Alves da Silva,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26026910,Escola Cicero Augusto Gomes,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26027488,Escola Joaquim Guedes Correia Gondim Neto,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26027615,Escola Iracema Moura de Moraes Veras,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26027828,Escola de Referencia em Ensino Medio Pedro Bezerra de Melo,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26027836,Escola de Referencia em Ensino Fundamental Inocencio Correia Lima,Sertao do Moxoto Ipanema(Arcoverde),Ibimirim
26027917,Escola de Referencia em Ensino Medio Antonio Guilherme Dias Lima,Sertao do Moxoto Ipanema(Arcoverde),Inaja
26028573,Escola de Referencia em Ensino Fundamental Joel Pedro da Silva,Sertao do Moxoto Ipanema(Arcoverde),Inaja
26029243,Escola de Referencia em Ensino Medio Coronel Manoel de Souza Neto,Sertao do Moxoto Ipanema(Arcoverde),Manari
26029812,Escola Amaro Lafayette,Sertao do Moxoto Ipanema(Arcoverde),Sertania
26029910,Escola de Referencia em Ensino Medio Olavo Bilac,Sertao do Moxoto Ipanema(Arcoverde),Sertania
26029936,Escola de Referencia em Ensino Fundamental Professor Jorge de Menezes,Sertao do Moxoto Ipanema(Arcoverde),Sertania
26030950,Escola Antonio Cavalcanti Filho,Sertao Medio Sao Francisco(Petrolina),Afranio
26031272,Escola de Referencia em Ensino Medio Jose Caldas Cavalcanti,Sertao Medio Sao Francisco(Petrolina),Cabrobo
26031914,Escola de Referencia em Ensino Medio Senador Paulo Guerra,Sertao Medio Sao Francisco(Petrolina),Cabrobo
26032082,Escola Ministro Marcos Freire,Sertao Medio Sao Francisco(Petrolina),Cabrobo
26033089,Escola Nossa Senhora Das Gracas - Dormentes,Sertao Medio Sao Francisco(Petrolina),Dormentes
26033356,Escola de Referencia em Ensino Medio Senador Nilo Coelho,Sertao Medio Sao Francisco(Petrolina),Dormentes
26033364,Escola de Referencia em Ensino Medio Jacob Antonio de Oliveira,Sertao Medio Sao Francisco(Petrolina),Oroco
26033879,Escola de Referencia em Ensino Medio Otacilio Nunes de Souza,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034298,Escola de Referencia em Ensino Medio Antonio Padilha,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034310,Escola Estadual de Alternancia,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034328,Escola de Referencia em Ensino Fundamental E Medio Dom Avelar Brandao Vilela,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034336,Escola de Referencia em Ensino Medio Dom Malan,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034344,Escola Doutor Diego Rego Barros,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034352,Escola de Referencia em Ensino Medio Doutor Pacifico Rodrigues da Luz,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034360,Escola Edison Nolasco,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034379,Escola de Referencia em Ensino Fundamental Eduardo Coelho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034425,Escola de Referencia em Ensino Fundamental Joaquim Andre Cavalcanti,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034441,Escola de Referencia em Ensino Medio Marechal Antonio Alves Filho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034476,Escola de Referencia em Ensino Fundamental Moyses Barbosa,Sertao Medio Sao Francisco(Petrolina),Petrolina
26034832,Escola de Referencia em Ensino Fundamental E Medio Monteiro Lobato,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035049,Escola de Referencia em Ensino Medio Padre Manoel de Paiva Netto,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035073,Escola Poeta Carlos Drumond de Andrade,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035111,Escola de Referencia em Ensino Fundamental E Medio Professor Manoel Xavier Paes Barreto,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035120,Escola de Referencia em Ensino Medio Professora Osa Santana de Carvalho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035138,Escola Professora Wilma Wzely Cunha Coelho Amorim,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035146,Escola Professora Adelina Almeida,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035251,Escola Francisco Xavier Dos Santos,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035316,Escola de Referencia em Ensino Medio Jornalista Joao Ferreira Gomes,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035340,Escola de Referencia em Ensino Fundamental E Medio Antonio Cassimiro,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035502,Escola Antonio Nunes Dos Santos,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035553,Escola Estadual de Aplicacao Professora Vande de Souza Ferreira,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035561,Escola Dom Antonio Campelo,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035600,Escola de Referencia em Ensino Medio Gercino Coelho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26035979,Escola de Referencia em Ensino Fundamental E Medio Padre Luiz Cassiano,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036010,Escola Poeta Jose Raulino Sampaio,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036037,Escola Professor Simao Amorim Durando,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036045,Escola de Referencia em Ensino Medio Professor Humberto Soares,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036118,Escola de Referencia em Ensino Medio Jesuino Antonio Davila,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036134,Escola de Referencia em Ensino Fundamental E Medio Nucleo de Moradores 11,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036169,Escola Manoel Marinho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036177,Escola Nucleo de Moradores - 6,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036193,Escola Nucleo de Moradores-7,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036207,Escola Erika Thaynara da Silva Leite,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036215,Escola Nucleo de Moradores - 9,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036223,Escola de Referencia em Ensino Fundamental E Medio Nossa Senhora Aparecida,Sertao Medio Sao Francisco(Petrolina),Petrolina
26036266,Escola Sao Jose - Petrolina,Sertao Medio Sao Francisco(Petrolina),Petrolina
26037599,Escola Professora Judith Gomes de Barros,Sertao Medio Sao Francisco(Petrolina),Santa Maria da Boa Vista
26037653,Escola Professor Agamenon Magalhaes,Sertao Medio Sao Francisco(Petrolina),Santa Maria da Boa Vista
26037700,Escola Santa Maria,Sertao Medio Sao Francisco(Petrolina),Lagoa Grande
26037726,Escola de Referencia em Ensino Fundamental E Medio Antonio de Amorim Coelho,Sertao Medio Sao Francisco(Petrolina),Lagoa Grande
26037904,Escola de Referencia em Ensino Medio Padre Maurilo Sampaio,Sertao Medio Sao Francisco(Petrolina),Santa Maria da Boa Vista
26038536,Escola de Referencia em Ensino Medio Gumercindo Cabral,Sertao Central(Salgueiro),Terra Nova
26038935,Escola de Referencia em Ensino Medio Monsenhor Joao Pires,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26039702,Escola de Referencia em Ensino Medio Tercina Roriz,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26039770,Escola de Referencia em Ensino Fundamental E Ensino Medio Doutor Alipio Lustosa,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26040220,Escola Celestino Nunes,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26040280,Escola de Referencia em Ensino Medio Professor Aureliano Goncalves Dos Santos,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26040310,Escola Bom Jesus Dos Aflitos,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26040468,Escola Olho Dagua do Padre,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26040522,Escola Sagrada Familia,Gre Sertao do Submedio Sao Francisco - Floresta,Carnaubeira da Penha
26040530,Escola Tia Amelia Caxiado,Gre Sertao do Submedio Sao Francisco - Floresta,Carnaubeira da Penha
26040646,Escola Emiliano Quirino de Sa,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26040824,Escola Estadual Indigena Especiosa Benigna de Barros,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26040948,Escola de Referencia em Ensino Medio Capitao Nestor Valgueiro de Carvalho,Sertao do Submedio Sao Francisco(Floresta),Floresta
26040956,Escola Tecnica Estadual Deputado Afonso Ferraz,Sertao do Submedio Sao Francisco(Floresta),Floresta
26040972,Escola Julio de Mello,Sertao do Submedio Sao Francisco(Floresta),Floresta
26041200,Escola de Referencia em Ensino Fundamental E Medio Tres Marias,Sertao do Submedio Sao Francisco(Floresta),Floresta
26041910,Escola de Referencia em Ensino Medio Professora Maria de Menezes Guimaraes,Sertao do Submedio Sao Francisco(Floresta),Itacuruba
26042037,Escola de Referencia em Ensino Medio de Jatoba,Sertao do Submedio Sao Francisco(Floresta),Petrolandia
26042045,Escola de Referencia em Ensino Medio Delmiro Gouveia-Petrolandia,Sertao do Submedio Sao Francisco(Floresta),Petrolandia
26042053,Escola de Referencia em Ensino Medio de Itaparica,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26042070,Escola de Referencia em Ensino Medio Maria Cavalcanti Nunes,Sertao do Submedio Sao Francisco(Floresta),Petrolandia
26042096,Escola Estadual Indigena Jose Luciano,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26042126,Escola Estadual Indigena Dr Carlos Estevao,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26042169,Escola Logradouro,Gre Sertao do Submedio Sao Francisco - Floresta,Petrolandia
26042312,Escola de Referencia em Ensino Fundamental E Medio Sao Francisco,Sertao do Submedio Sao Francisco(Floresta),Petrolandia
26042428,Escola Estadual Dom Joao Bosco,Gre Sertao do Submedio Sao Francisco - Floresta,Petrolandia
26042479,Escola Pankararus,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26042525,Escola Nossa Senhora Aparecida - Jatoba,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26042711,Escola do Espinheiro,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26042797,Escola Cabral,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26043017,Escola Santa Ines da Tapera,Gre Sertao do Submedio Sao Francisco - Floresta,Tacaratu
26043076,Escola Pankararus Ezequiel,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26043130,Escola de Referencia em Ensino Fundamental Sergio Magalhaes,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26043335,Escola de Referencia em Ensino Medio Joao Batista de Vasconcelos - Tacaratu,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26043408,Escola Princesa Isabel,Gre Sertao do Submedio Sao Francisco - Floresta,Tacaratu
26043505,Escola de Referencia em Ensino Medio Julia Gomes de Araujo,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26044412,Escola Joao Rodrigues Cardoso,Agreste Meridional(Garanhuns),Aguas Belas
26044862,Escola de Referencia em Ensino Medio Coronel Nicolau Siqueira,Agreste Meridional(Garanhuns),Aguas Belas
26045656,Escola de Referencia em Ensino Medio Sao Felix de Cantalice,Sertao do Moxoto Ipanema(Arcoverde),Buique
26045745,Escola de Referencia em Ensino Medio Duque de Caxias,Sertao do Moxoto Ipanema(Arcoverde),Buique
26046040,Escola de Referencia em Ensino Fundamental E Medio Vigario Joao Inacio,Sertao do Moxoto Ipanema(Arcoverde),Buique
26047187,Escola de Referencia em Ensino Medio Pedro de Alcantara Ramos,Sertao do Moxoto Ipanema(Arcoverde),Itaiba
26047365,Escola Frei Joao Pereira de Souza,Sertao do Moxoto Ipanema(Arcoverde),Itaiba
26047837,Escola de Referencia em Ensino Medio Professor Brasiliano Donino da Costa Lima,Sertao do Moxoto Ipanema(Arcoverde),Pedra
26047845,Escola Anete Vale de Oliveira,Sertao do Moxoto Ipanema(Arcoverde),Pedra
26048078,Escola Amalia Cavalcanti da Costa Lima,Sertao do Moxoto Ipanema(Arcoverde),Pedra
26048337,Escola de Referencia em Ensino Medio Jose emilio de Melo,Sertao do Moxoto Ipanema(Arcoverde),Tupanatinga
26049406,Escola de Referencia em Ensino Medio Quiteria Wanderley Simoes,Sertao do Moxoto Ipanema(Arcoverde),Venturosa
26049422,Escola Conego Emanuel Vasconcelos,Sertao do Moxoto Ipanema(Arcoverde),Venturosa
26049562,Escola de Referencia em Ensino Medio Goncalo Antunes Bezerra,Sertao do Moxoto Ipanema(Arcoverde),Alagoinha
26054019,Escola de Referencia em Ensino Fundamental E Medio Antonia Cavalcanti de Albuquerque,Agreste Centro Norte(Caruaru),Caruaru
26062836,Escola de Referencia em Ensino Fundamental E Medio Joaquim Ribeiro da Rocha,Agreste Centro Norte(Caruaru),Sao Caitano
26052792,Escola de Referencia em Ensino Fundamental E Medio Presidente Kennedy,Agreste Centro Norte(Caruaru),Cachoeirinha
26062410,Escola de Referencia em Ensino Medio Agamenon Magalhaes,Agreste Centro Norte(Caruaru),Sao Caitano
26052083,Escola de Referencia em Ensino Medio Andre Cordeiro,Agreste Centro Norte(Caruaru),Brejo da Madre de Deus
26054027,Escola de Referencia em Ensino Medio Arnaldo Assuncao,Agreste Centro Norte(Caruaru),Caruaru
26050048,Escola de Referencia em Ensino Medio Bento Americo,Agreste Centro Norte(Caruaru),Belo Jardim
26052776,Escola de Referencia em Ensino Medio Corsina Braga,Agreste Centro Norte(Caruaru),Cachoeirinha
26051176,Escola de Referencia em Ensino Fundamental E Ensino Medio Eurico Queiroz,Mata Centro(Vitoria de Santo Antao),Bezerros
26051702,Escola Dom Jose Lamartine Soares,Mata Centro(Vitoria de Santo Antao),Bezerros
26051737,Escola de Referencia em Ensino Medio Professora Maria Ana,Mata Centro(Vitoria de Santo Antao),Bezerros
26051761,Escola de Referencia em Ensino Medio Conego Alexandre Cavalcanti,Mata Centro(Vitoria de Santo Antao),Bezerros
26179873,Escola de Referencia em Ensino Medio de Belo Jardim,Agreste Centro Norte(Caruaru),Belo Jardim
26178656,Escola de Referencia em Ensino Medio de Panelas,Agreste Centro Norte(Caruaru),Panelas
26054043,Escola de Referencia em Ensino Medio Dom Miguel de Lima Valverde,Agreste Centro Norte(Caruaru),Caruaru
26053608,Escola de Referencia em Ensino Medio Nossa Senhora do Perpetuo Socorro,Agreste Meridional(Garanhuns),Capoeiras
26148447,Escola de Referencia em Ensino Medio Doutor Adilson Bezerra de Souza,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26054094,Escola de Referencia em Ensino Medio Felisberto Carvalho,Agreste Centro Norte(Caruaru),Caruaru
26050102,Escola de Referencia em Ensino Medio Joao Monteiro de Melo,Agreste Centro Norte(Caruaru),Belo Jardim
26063891,Escola de Referencia em Ensino Medio Jose Francelino Aragao,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26063310,Escola de Referencia em Ensino Medio Jose Leite Barros,Agreste Centro Norte(Caruaru),Tacaimbo
26082020,Escola de Referencia em Ensino Medio Jose Lins de Figueiredo,Agreste Centro Norte(Caruaru),Altinho
26057743,Escola de Referencia em Ensino Medio Jose Lopes de Siqueira,Agreste Centro Norte(Caruaru),Jatauba
26063905,Escola de Referencia em Ensino Medio Luiz Alves da Silva,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26060124,Escola de Referencia em Ensino Medio Manoel Bacelar,Agreste Centro Norte(Caruaru),Riacho Das Almas
26084317,Escola de Referencia em Ensino Medio Manoel Moreira da Costa,Agreste Centro Norte(Caruaru),Ibirajuba
26054140,Escola de Referencia em Ensino Medio Maria Auxiliadora Liberato,Agreste Centro Norte(Caruaru),Caruaru
26053853,Escola de Referencia em Ensino Medio Nicanor Souto Maior,Agreste Centro Norte(Caruaru),Caruaru
26054809,Escola de Referencia em Ensino Medio Padre Zacarias Tavares,Agreste Centro Norte(Caruaru),Caruaru
26063999,Escola de Referencia em Ensino Medio Padre Zuzinha,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26082179,Escola de Referencia em Ensino Medio Professor Francisco Joaquim de Barros Correia,Agreste Centro Norte(Caruaru),Altinho
26081849,Escola de Referencia em Ensino Medio Professor Jose Constantino,Agreste Centro Norte(Caruaru),Agrestina
26055082,Escola de Referencia em Ensino Medio Professor Lisboa,Agreste Centro Norte(Caruaru),Caruaru
26054850,Escola de Referencia em Ensino Medio Professor Mario Sette,Agreste Centro Norte(Caruaru),Caruaru
26054876,Escola de Referencia em Ensino Medio Professor Vicente Monteiro,Agreste Centro Norte(Caruaru),Caruaru
26054884,Escola de Referencia em Ensino Medio Professora Adelia Leal Ferreira,Agreste Centro Norte(Caruaru),Caruaru
26054914,Escola de Referencia em Ensino Medio Professora Elisete Lopes de Lima Pires,Agreste Centro Norte(Caruaru),Caruaru
26056550,Escola Aarao Lins de Andrade,Mata Centro(Vitoria de Santo Antao),Gravata
26056577,Escola de Referencia em Ensino Medio Professor Antonio Farias,Mata Centro(Vitoria de Santo Antao),Gravata
26056623,Escola de Referencia em Ensino Medio Cleto Campelo,Mata Centro(Vitoria de Santo Antao),Gravata
26056658,Escola de Referencia em Ensino Medio Devaldo Borges,Mata Centro(Vitoria de Santo Antao),Gravata
26056798,Escola de Referencia em Ensino Fundamental Monsenhor Jose Elias de Almeida,Mata Centro(Vitoria de Santo Antao),Gravata
26084201,Escola de Referencia em Ensino Medio Professora Maria de Lourdes Temporal,Agreste Centro Norte(Caruaru),Cupira
26058430,Escola de Referencia em Ensino Medio Jose de Almeida Maciel,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26058812,Escola Professor Arruda Marinho,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26058910,Escola Cacilda Almeida,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26058936,Escola de Referencia em Ensino Fundamental Dom Adelmo Cavalcanti Machado,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26058952,Escola Elizeu Araujo,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26058960,Escola de Referencia em Ensino Medio Cristo Rei,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26059088,Escola de Referencia em Ensino Medio Professora Margarida de Lima Falcao,Sertao do Moxoto Ipanema(Arcoverde),Pesqueira
26059789,Escola de Referencia em Ensino Medio Comendador Manoel Caetano de Brito,Sertao do Moxoto Ipanema(Arcoverde),Pocao
26050200,Escola de Referencia em Ensino Medio Professora Maria Galvao,Agreste Centro Norte(Caruaru),Belo Jardim
26061023,Escola de Referencia em Ensino Medio Nossa Senhora de Fatima,Sertao do Moxoto Ipanema(Arcoverde),Sanharo
26061112,Escola de Referencia em Ensino Fundamental Doutor Benjamin Caraciolo,Sertao do Moxoto Ipanema(Arcoverde),Sanharo
26061643,Escola de Referencia em Ensino Medio Rodolfo Paiva,Agreste Meridional(Garanhuns),Sao Bento do Una
26061724,Escola Elpidio Barbosa Maciel,Agreste Meridional(Garanhuns),Sao Bento do Una
26066220,Escola de Referencia em Ensino Medio Protazio Soares de Souza,Agreste Centro Norte(Caruaru),Toritama
26065592,Escola de Referencia em Ensino Medio Severino Cordeiro de Arruda,Agreste Centro Norte(Caruaru),Taquaritinga do Norte
26054060,Escola Dom Vital - Caruaru,Agreste Centro Norte(Caruaru),Caruaru
26148021,Escola Estadual Gregorio Bezerra - Panelas,Agreste Centro Norte(Caruaru),Panelas
26066181,Escola Estelita Timoteo,Agreste Centro Norte(Caruaru),Toritama
26063522,Escola Teofilo Severino de Arruda,Vale do Capibaribe(Limoeiro),Frei Miguelinho
26063530,Escola de Referencia em Ensino Medio Sao Jose,Vale do Capibaribe(Limoeiro),Frei Miguelinho
26084040,Escola Ezequiel Bertino de Almeida,Agreste Centro Norte(Caruaru),Cupira
26063280,Escola Francisco de Assis Barros,Agreste Centro Norte(Caruaru),Tacaimbo
26050064,Escola Frei Cassiano Comacchio,Agreste Centro Norte(Caruaru),Belo Jardim
26055368,Escola Irma Sonia,Agreste Centro Norte(Caruaru),Caruaru
26065606,Escola Jose Bezerra de Andrade,Agreste Centro Norte(Caruaru),Taquaritinga do Norte
26064294,Escola de Referencia em Ensino Medio Joao David de Souza,Vale do Capibaribe(Limoeiro),Santa Maria do Cambuca
26064618,Escola de Referencia em Ensino Medio Natalicia Maria Figueiroa da Silva,Vale do Capibaribe(Limoeiro),Surubim
26064626,Escola de Referencia em Ensino Medio Severino Farias,Vale do Capibaribe(Limoeiro),Surubim
26064642,Escola de Referencia em Ensino Fundamental Maria Cecilia Barbosa Leal,Vale do Capibaribe(Limoeiro),Surubim
26065401,Escola de Referencia em Ensino Medio Ana Faustina,Vale do Capibaribe(Limoeiro),Surubim
26065568,Escola de Referencia em Ensino Medio Joao Xxiii,Vale do Capibaribe(Limoeiro),Casinhas
26055210,Escola Jose Carlos Florencio,Agreste Centro Norte(Caruaru),Caruaru
26064030,Escola Malaquias Cardoso Aragao,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26050137,Escola Ministro Marcos de Barros Freire,Agreste Centro Norte(Caruaru),Belo Jardim
26050188,Escola Padre Giovanni Toniutti,Agreste Centro Norte(Caruaru),Belo Jardim
26066572,Escola de Referencia em Ensino Medio Gil Rodrigues,Vale do Capibaribe(Limoeiro),Vertentes
26067137,Escola de Referencia em Ensino Medio Doutor Mota Silveira,Vale do Capibaribe(Limoeiro),Bom Jardim
26067382,Escola de Referencia em Ensino Medio Justulino Ferreira Gomes,Vale do Capibaribe(Limoeiro),Bom Jardim
26067552,Escola de Referencia em Ensino Medio Raimundo Honorio,Vale do Capibaribe(Limoeiro),Bom Jardim
26067803,Escola de Referencia em Ensino Medio Manoel Goncalves de Lima,Vale do Capibaribe(Limoeiro),Cumaru
26068427,Escola de Referencia em Ensino Medio Professora Marilene Chaves de Santana,Vale do Capibaribe(Limoeiro),Feira Nova
26068508,Escola de Referencia em Ensino Medio Antonio Inacio,Vale do Capibaribe(Limoeiro),Feira Nova
26068729,Escola de Referencia em Ensino Medio Jarina Maia,Vale do Capibaribe(Limoeiro),Joao Alfredo
26068877,Escola de Referencia em Ensino Medio Nossa Senhora Auxiliadora,Vale do Capibaribe(Limoeiro),Joao Alfredo
26069210,Escola de Referencia em Ensino Medio Professora Jandira de Andrade Lima,Vale do Capibaribe(Limoeiro),Limoeiro
26069288,Escola de Referencia em Ensino Medio Austro Costa,Vale do Capibaribe(Limoeiro),Limoeiro
26069318,Escola de Referencia em Ensino Medio Doutor Sebastiao de Vasconcelos Galvao,Vale do Capibaribe(Limoeiro),Limoeiro
26069555,Escola Serafico Ricardo,Vale do Capibaribe(Limoeiro),Limoeiro
26069652,Escola de Referencia em Ensino Fundamental Ginasio Arthur Correia de Oliveira,Vale do Capibaribe(Limoeiro),Limoeiro
26070090,Escola de Referencia em Ensino Medio Severino de Andrade Guerra,Vale do Capibaribe(Limoeiro),Machados
26070260,Escola de Referencia em Ensino Medio Abilio de Souza Barbosa,Vale do Capibaribe(Limoeiro),Orobo
26070456,Escola de Referencia em Ensino Medio Professora Rita Maria da Conceicao,Vale do Capibaribe(Limoeiro),Orobo
