Cod Mec,Escola,Gre,Município
26133974,Escola Pedro Santos Estima,Sertao do Alto Pajeu(Afogados da Ingazeira),Flores
26133985,Escola de Referencia em Ensino Medio Regina Pacis,Sertao do Alto Pajeu(Afogados da Ingazeira),Santa Cruz da Baixa Verde
26134085,Escola de Referencia em Ensino Medio Alfredo de Carvalho,Sertao do Alto Pajeu(Afogados da Ingazeira),Triunfo
26134213,Escola Tecnica Estadual Maria emilia Cantarelli,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26134350,Escola Municipal Padre Donino,Recife Norte,Recife
26135400,Escola Estadual Professora Mariza Jose Barbosa da Silva,Vale do Capibaribe(Limoeiro),Passira
26135555,Escola de Referencia em Ensino Medio Escritor Paulo Cavalcanti,Metropolitano Norte,Olinda
26136455,Escola de Referencia em Ensino Medio Marechal Floriano Peixoto,Metropolitano Norte,Olinda
26136460,Escola de Referencia em Ensino Medio Santa Ana,Metropolitano Norte,Olinda
26136489,Escola de Referencia em Ensino Medio Escritor Jose de Alencar,Metropolitano Norte,Paulista
26137149,Escola de Referencia em Ensino Fundamental E Medio Stela Maria Dos Santos Pinto Barros,Metropolitano Norte,Abreu E Lima
26138875,Anexo I do Colegio da Policia Militar Petrolina,Sertao Medio Sao Francisco(Petrolina),Petrolina
26139081,Escola de Referencia em Ensino Medio Joao Rodrigues Leite,Sertao do Submedio Sao Francisco(Floresta),Carnaubeira da Penha
26139120,Escola Estadual Honorio Bernardes da Silva,Sertao do Submedio Sao Francisco(Floresta),Belem do Sao Francisco
26140144,Escola de Referencia em Ensino Medio Pau Brasil,Sertao Medio Sao Francisco(Petrolina),Santa Maria da Boa Vista
26140179,Escola de Referencia em Ensino Fundamental Eneide Coelho Paixao Cavalcanti,Sertao Medio Sao Francisco(Petrolina),Petrolina
26140187,Escola de Referencia em Ensino Fundamental Professora Suzel Galiza,Vale do Capibaribe(Limoeiro),Limoeiro
26145677,Escola de Referencia em Ensino Medio Justa Barbosa de Sales,Vale do Capibaribe(Limoeiro),Vertente do Lerio
26146967,Escola Bem-Te-Vi,Sertao Medio Sao Francisco(Petrolina),Oroco
26054949,Escola Professora Rosilda Maciel Vieira,Agreste Centro Norte(Caruaru),Caruaru
26055040,Escola Santo Amaro,Agreste Centro Norte(Caruaru),Caruaru
26149907,Escola de Referencia em Ensino Fundamental E Medio Juazeiro,Sertao do Submedio Sao Francisco(Floresta),Tacaratu
26150131,Escola de Referencia em Ensino Fundamental Professor Paulo Freire,Metropolitano Norte,Olinda
26153491,Escola de Referencia em Ensino Fundamental Monsenhor Manoel Leonardo de Barros Barreto,Recife Sul,Recife
26153742,Escola Estadual Madre Iva Bezerra de Araujo,Metropolitano Sul,Cabo de Santo Agostinho
26154358,Escola de Referencia em Ensino Fundamental E Ensino Medio Ico Mandantes,Sertao do Submedio Sao Francisco(Floresta),Petrolandia
26154803,Escola de Referencia em Ensino Medio Elvira Granja de Souza,Sertao do Araripe(Araripina),Santa Cruz
26155516,Escola Estadual Indigena Apinage,Gre Sertao do Submedio Sao Francisco - Floresta,Jatoba
26155559,Escola de Referencia em Ensino Medio Dom Helder Camara,Sertao Medio Sao Francisco(Petrolina),Lagoa Grande
26155567,Escola Professora Josefina Gomes Araujo,Sertao Medio Sao Francisco(Petrolina),Lagoa Grande
26165112,Escola Santa Sofia,Metropolitano Sul,Camaragibe
26165783,Escola Estadual Nossa Senhora da Penha,Mata Sul(Palmares),Gameleira
26167158,Escola Professora Galtemir Lins,Mata Sul(Palmares),Palmares
26169029,Escola de Referencia em Ensino Medio Raimundo de Castro Ferreira,Sertao do Araripe(Araripina),Santa Filomena
26169193,Escola Estadual Teotonio Correia da Silva,Mata Sul(Palmares),Sirinhaem
26169223,Escola Estadual Doutor Caetano Monteiro,Mata Sul(Palmares),Rio Formoso
26169975,Escola Jose Antonio Fagundes,Mata Norte(Nazare da Mata),Paudalho
26171198,Escola de Referencia em Ensino Fundamental E Medio Professora Maria Eugenia Lopes Gomes,Metropolitano Sul,Cabo de Santo Agostinho
26171600,Escola de Referencia em Ensino Fundamental Rural Manoel Gomes de Sa,Sertao do Submedio Sao Francisco(Floresta),Jatoba
26172712,Escola de Referencia em Ensino Medio Ginasio Pernambucano - Aurora,Recife Norte,Recife
26174464,Escola de Referencia em Ensino Medio Henrique Justino de Melo,Agreste Meridional(Garanhuns),Jucati
26174570,Escola Estadual Pio Xii,Metropolitano Sul,Camaragibe
26175509,Escola Estadual Quilombola Professora Rosa Doralina Mendes,Sertao Central(Salgueiro),Salgueiro
26175533,Escola Tecnica Estadual Pedro Muniz Falcao,Sertao do Araripe(Araripina),Araripina
26176203,Escola Tecnica Estadual Professor Paulo Freire,Sertao do Alto Pajeu(Afogados da Ingazeira),Carnaiba
26176211,Escola Tecnica Estadual Maria Jose Vasconcelos,Mata Centro(Vitoria de Santo Antao),Bezerros
26176220,Escola Tecnica Estadual Celia de Souza Leao Arraes de Alencar,Mata Centro(Vitoria de Santo Antao),Bonito
26176238,Escola Tecnica Estadual Professor Lucilo Avila Pessoa,Recife Sul,Recife
26176246,Escola Tecnica Estadual Alcides do Nascimento Lins,Metropolitano Sul,Camaragibe
26053845,Escola Tecnica Estadual de Caruaru Nelson Barbalho,Agreste Centro Norte(Caruaru),Caruaru
26176262,Escola Tecnica Estadual Professora Celia Siqueira,Sertao do Alto Pajeu(Afogados da Ingazeira),Sao Jose do Egito
26176882,Escola Tecnica Estadual Professor Jose Luiz de Mendonca,Mata Centro(Vitoria de Santo Antao),Gravata
26177013,Escola de Referencia em Ensino Medio de Bezerros,Mata Centro(Vitoria de Santo Antao),Bezerros
26177927,Escola Malaquias Mendes da Silva,Sertao Medio Sao Francisco(Petrolina),Petrolina
26178028,Escola de Referencia em Ensino Medio de Ipojuca,Metropolitano Sul,Ipojuca
26178079,Escola Estadual Fernando Soares Lyra,Metropolitano Sul,Cabo de Santo Agostinho
26178087,Escola de Referencia em Ensino Medio Cabo de Santo Agostinho,Metropolitano Sul,Cabo de Santo Agostinho
26178095,Escola de Referencia em Ensino Medio Clementino Coelho,Sertao Medio Sao Francisco(Petrolina),Petrolina
26178176,Escola de Referencia em Ensino Medio de Timbauba Professor Antonio Jose Barboza Dos Santos,Mata Norte(Nazare da Mata),Timbauba
26178192,Escola de Referencia em Ensino Medio Professor Adauto Carvalho,Sertao do Alto Pajeu(Afogados da Ingazeira),Serra Talhada
26178222,Escola de Referencia em Ensino Medio Dos Palmares Dom Acacio Rodrigues Alves,Mata Sul(Palmares),Palmares
26178230,Escola Tecnica Estadual Cicero Dias,Recife Sul,Recife
26178435,Escola de Referencia em Ensino Medio Maria Vieira Muliterno,Metropolitano Norte,Abreu E Lima
26185938,Escola Tecnica Estadual Edson Mororo Moura,Agreste Centro Norte(Caruaru),Belo Jardim
26178699,Escola de Referencia em Ensino Medio de Arcoverde,Sertao do Moxoto Ipanema(Arcoverde),Arcoverde
26179474,Escola de Referencia em Ensino Medio Josias Inojosa de Oliveira,Sertao do Araripe(Araripina),Araripina
26179610,Escola de Referencia em Ensino Medio Nobrega,Recife Norte,Recife
26179806,Escola de Referencia em Ensino Medio de Salgueiro,Sertao Central(Salgueiro),Salgueiro
26179857,Escola Tecnica Estadual Porto Digital,Recife Sul,Recife
26176254,Escola Tecnica Estadual Jose Nivaldo Pereira Ramos,Agreste Centro Norte(Caruaru),Santa Cruz do Capibaribe
26179997,Escola de Referencia em Ensino Medio Professora Edite Matos,Sertao Medio Sao Francisco(Petrolina),Santa Maria da Boa Vista
